Date,Total Value
2017-09-18,45016.353491067886
2017-09-19,44984.91814494133
2017-09-20,45025.29048871994
2017-09-21,44950.14915239811
2017-09-22,45084.37022411823
2017-09-25,44933.91551434994
2017-09-26,44971.80042612553
2017-09-27,45149.64905381203
2017-09-28,45235.10264754295
2017-09-29,45424.158680438995
2017-10-02,45637.27619719505
2017-10-03,45792.34491574764
2017-10-04,45975.12842750549
2017-10-05,46115.737862825394
2017-10-06,46136.55315852165
2017-10-09,46025.112429738045
2017-10-10,46088.45006120205
2017-10-11,46180.4617818594
2017-10-12,46238.72428572178
2017-10-13,46282.78425657749
2017-10-16,46320.11637222767
2017-10-17,46282.26037418842
2017-10-18,46327.27417063713
2017-10-19,46619.91412639618
2017-10-20,47003.729714512825
2017-10-23,46834.76038682461
2017-10-24,46887.11304485798
2017-10-25,46609.166509628296
2017-10-26,46795.640843749046
2017-10-27,46964.987490057945
2017-10-30,46761.299463033676
2017-10-31,46957.967200517654
2017-11-01,46904.867077708244
2017-11-02,46976.675394296646
2017-11-03,47137.01520872116
2017-11-06,47245.363602399826
2017-11-07,46928.262875556946
2017-11-08,47091.91513109207
2017-11-09,46916.67717945576
2017-11-10,46876.95300078392
2017-11-13,47001.16915726662
2017-11-14,47035.99089050293
2017-11-15,46776.59383845329
2017-11-16,47156.28100991249
2017-11-17,47130.815062999725
2017-11-20,47284.728756427765
2017-11-21,47563.9504635334
2017-11-22,47540.29528474808
2017-11-24,47605.22747826576
2017-11-27,47581.50022602081
2017-11-28,48014.58579802513
2017-11-29,48114.87324333191
2017-11-30,48492.36894655228
2017-12-01,48312.437574863434
2017-12-04,48189.471494197845
2017-12-05,47941.68428301811
2017-12-06,47866.094460725784
2017-12-07,48118.366129636765
2017-12-08,48374.98200273514
2017-12-11,48380.76324677467
2017-12-12,48309.21341586113
2017-12-13,48345.57024502754
2017-12-14,48168.328018426895
2017-12-15,48561.420580625534
2017-12-18,48824.243382930756
2017-12-19,48665.40602564812
2017-12-20,48669.226871967316
2017-12-21,48734.371354818344
2017-12-22,48730.56762433052
2017-12-26,48713.060210227966
2017-12-27,48756.25283074379
2017-12-28,48968.69757771492
2017-12-29,48709.354133844376
2018-01-02,49097.24025774002
2018-01-03,49512.99807262421
2018-01-04,49608.78453826904
2018-01-05,49977.86350226402
2018-01-08,50173.92825245857
2018-01-09,50313.15272426605
2018-01-10,50037.19179701805
2018-01-11,50430.797184467316
2018-01-12,50758.58931851387
2018-01-16,50557.96958422661
2018-01-17,51139.536499500275
2018-01-18,51024.72178983688
2018-01-19,51416.468470811844
2018-01-22,51575.97327399254
2018-01-23,51728.96755361557
2018-01-24,51736.10364770889
2018-01-25,51588.2517478466
2018-01-26,51973.68141913414
2018-01-29,51495.966264009476
2018-01-30,51074.344962358475
2018-01-31,51034.38417553902
2018-02-01,50885.63465976715
2018-02-02,49923.92473721504
2018-02-05,48068.704060316086
2018-02-06,48749.85226869583
2018-02-07,48586.46596646309
2018-02-08,46729.07962059975
2018-02-09,47286.835129737854
2018-02-12,47911.97959923744
2018-02-13,48040.45367670059
2018-02-14,48829.13000869751
2018-02-15,49394.94637751579
2018-02-16,49572.45410847664
2018-02-20,49343.63314986229
2018-02-21,49131.63476371765
2018-02-22,49042.41629576683
2018-02-23,49643.649471998215
2018-02-26,49955.724556684494
2018-02-27,49269.51219654083
2018-02-28,48911.28718781471
2018-03-01,48417.12126779556
2018-03-02,48715.4211204052
2018-03-05,49238.601172447205
2018-03-06,49578.99925374985
2018-03-07,49700.67868900299
2018-03-08,49915.220103263855
2018-03-09,50768.98581123352
2018-03-12,50730.62062931061
2018-03-13,50544.41077661514
2018-03-14,50255.036724090576
2018-03-15,50200.89537143707
2018-03-16,50398.53601980209
2018-03-19,49952.78475475311
2018-03-20,50040.744791030884
2018-03-21,50019.94679069519
2018-03-22,48814.96551656723
2018-03-23,47921.710377693176
2018-03-26,49112.43481636047
2018-03-27,48357.28393268585
2018-03-28,48167.98953342438
2018-03-29,48594.9382147789
2018-04-02,47696.639788627625
2018-04-03,48280.58644580841
2018-04-04,48880.55827617645
2018-04-05,49212.05211877823
2018-04-06,48108.839359760284
2018-04-09,48223.39611196518
2018-04-10,48957.49619960785
2018-04-11,48647.40842628479
2018-04-12,48848.15113115311
2018-04-13,48740.32680749893
2018-04-16,49190.7445230484
2018-04-17,49785.782636642456
2018-04-18,49941.68817329407
2018-04-19,49605.52530860901
2018-04-20,49255.09218597412
2018-04-23,49243.8970823288
2018-04-24,48622.05434322357
2018-04-25,48737.62632417679
2018-04-26,49289.053528785706
2018-04-27,49408.979769706726
2018-04-30,48993.41269826889
2018-05-01,49071.74561357498
2018-05-02,48663.23982048035
2018-05-03,48670.95274066925
2018-05-04,49193.626288414
2018-05-07,49278.97233963013
2018-05-08,49274.872259140015
2018-05-09,49612.88711595535
2018-05-10,49900.822098731995
2018-05-11,50055.55047798157
2018-05-14,50026.198175907135
2018-05-15,49583.79412174225
2018-05-16,49799.88981485367
2018-05-17,49908.28918027878
2018-05-18,49924.47316455841
2018-05-21,50334.632820129395
2018-05-22,49947.38416481018
2018-05-23,50155.40608072281
2018-05-24,50133.84460449219
2018-05-25,50126.68761014938
2018-05-29,49708.68727064133
2018-05-30,50302.96567296982
2018-05-31,49835.57519197464
2018-06-01,50328.059567928314
2018-06-04,50580.39241886139
2018-06-05,50664.33475589752
2018-06-06,51123.86644077301
2018-06-07,51056.98100233078
2018-06-08,51365.69162130356
2018-06-11,51407.23703575134
2018-06-12,51614.90855026245
2018-06-13,51273.46714258194
2018-06-14,51459.6684088707
2018-06-15,51559.88854265213
2018-06-18,51416.09575510025
2018-06-19,51161.081424713135
2018-06-20,51280.189390182495
2018-06-21,50965.52472162247
2018-06-22,50960.31774902344
2018-06-25,50242.395523548126
2018-06-26,50285.76713848114
2018-06-27,49761.61636018753
2018-06-28,50014.51370334625
2018-06-29,50089.364114284515
2018-07-02,50209.772918224335
2018-07-03,50172.218553066254
2018-07-05,50589.28381252289
2018-07-06,50963.394542217255
2018-07-09,51461.15796518326
2018-07-10,51573.69712781906
2018-07-11,51213.97301673889
2018-07-12,51573.521802425385
2018-07-13,51616.29184436798
2018-07-16,51398.34679746628
2018-07-17,51706.76791667938
2018-07-18,51814.38061380386
2018-07-19,51848.2930521965
2018-07-20,51498.29165172577
2018-07-23,51461.45182847977
2018-07-24,51335.23375415802
2018-07-25,51775.181017398834
2018-07-26,51867.0378241539
2018-07-27,51477.743290901184
2018-07-30,50899.27112531662
2018-07-31,51391.4015455246
2018-08-01,51201.274642944336
2018-08-02,51533.18316459656
2018-08-03,51630.69494009018
2018-08-06,51838.494636535645
2018-08-07,52039.52139854431
2018-08-08,51924.02269363403
2018-08-09,51766.124743938446
2018-08-10,51398.708772182465
2018-08-13,51113.1108379364
2018-08-14,51491.90920448303
2018-08-15,51185.45194768906
2018-08-16,51474.46975135803
2018-08-17,51639.515376091
2018-08-20,51829.62270975113
2018-08-21,52170.791105270386
2018-08-22,52081.744307518005
2018-08-23,51933.762271404266
2018-08-24,52273.96347475052
2018-08-27,52651.465618133545
2018-08-28,52645.445549964905
2018-08-29,52849.15076160431
2018-08-30,52577.9648809433
2018-08-31,52651.933020591736
2018-09-04,52600.16748666763
2018-09-05,52457.10195827484
2018-09-06,52472.0818362236
2018-09-07,52338.361402988434
2018-09-10,52468.31216955185
2018-09-11,52564.97831821442
2018-09-12,52683.44937610626
2018-09-13,52961.45696926117
2018-09-14,53075.82913541794
2018-09-17,52732.28952527046
2018-09-18,53063.63060092926
2018-09-19,53003.117045879364
2018-09-20,53297.924629211426
2018-09-21,53298.24925279617
2018-09-24,53038.02708864212
2018-09-25,52948.13311767578
2018-09-26,52742.80004739761
2018-09-27,52846.087819099426
2018-09-28,52828.47250652313
2018-10-01,52840.52937793732
2018-10-02,52692.22166633606
2018-10-03,52646.25952768326
2018-10-04,52128.682020664215
2018-10-05,51853.97329330444
2018-10-08,51787.007720947266
2018-10-09,51475.84628915787
2018-10-10,49878.8017706871
2018-10-11,48857.80182170868
2018-10-12,49423.594319820404
2018-10-15,49310.70908498764
2018-10-16,50325.04730653763
2018-10-17,50200.91197490692
2018-10-18,49451.26718378067
2018-10-19,49230.36285972595
2018-10-22,49048.32858610153
2018-10-23,48755.47849607468
2018-10-24,47294.46609830856
2018-10-25,47952.15456819534
2018-10-26,47302.33333826065
2018-10-29,47110.9578704834
2018-10-30,48040.72933101654
2018-10-31,48479.1050825119
2018-11-01,49237.98462152481
2018-11-02,49029.80070447922
2018-11-05,49319.67931127548
2018-11-06,49706.05249500275
2018-11-07,50660.65982198715
2018-11-08,50560.3495016098
2018-11-09,50191.024260520935
2018-11-12,49355.338216781616
2018-11-13,49416.76655769348
2018-11-14,49096.84907627106
2018-11-15,49562.24664783478
2018-11-16,49780.329552173615
2018-11-19,48930.90458250046
2018-11-20,48237.869390010834
2018-11-21,48602.00624322891
2018-11-23,48541.63873386383
2018-11-26,49153.155395030975
2018-11-27,49168.27685499191
2018-11-28,50298.78651714325
2018-11-29,50130.51885175705
2018-11-30,50394.61185359955
2018-12-03,50976.736498355865
2018-12-04,49428.10214281082
2018-12-06,49409.43755340576
2018-12-07,48264.64837217331
2018-12-10,48278.50061225891
2018-12-11,48264.29456567764
2018-12-12,48607.350737571716
2018-12-13,48442.428176403046
2018-12-14,47690.95641326904
2018-12-17,46673.19075345993
2018-12-18,46736.91664266586
2018-12-19,46005.66768121719
2018-12-20,45288.204125881195
2018-12-21,44400.282277584076
2018-12-24,43307.35760784149
2018-12-26,45298.84360408783
2018-12-27,45751.15251874924
2018-12-28,45673.996628284454
2018-12-31,46099.446019649506
2019-01-02,45908.52131795883
2019-01-03,44913.808342933655
2019-01-04,46299.54636955261
2019-01-07,46739.264721393585
2019-01-08,47195.40026473999
2019-01-09,47483.24057340622
2019-01-10,47893.4474272728
2019-01-11,47929.560988903046
2019-01-14,47650.9959564209
2019-01-15,48084.336841106415
2019-01-16,48165.093322753906
2019-01-17,48622.28775548935
2019-01-18,49237.35914564133
2019-01-22,48583.80203008652
2019-01-23,48693.34729528427
2019-01-24,48919.28203344345
2019-01-25,49341.379304885864
2019-01-28,49203.37575817108
2019-01-29,49371.17225599289
2019-01-30,49952.40228652954
2019-01-31,50380.77658843994
2019-02-01,50501.64140844345
2019-02-04,50828.07452869415
2019-02-05,51080.5905547142
2019-02-06,50955.470304489136
2019-02-07,50828.24388599396
2019-02-08,50918.450585365295
2019-02-11,51092.08838844299
2019-02-12,51739.61563062668
2019-02-13,51846.687229156494
2019-02-14,51869.10588788986
2019-02-15,52466.09903764725
2019-02-19,52461.64803600311
2019-02-20,52535.23470211029
2019-02-21,52368.93464565277
2019-02-22,52763.08881902695
2019-02-25,52688.69768333435
2019-02-26,52636.14232683182
2019-02-27,52643.228998184204
2019-02-28,52395.057423591614
2019-03-01,52751.93753671646
